"State","zhvi_pre_avg","zhvi_post_avg","zhvi_pre_change","zhvi_post_change","gdp_pre","gdp_post","income_pre","income_post","pce_pre","pce_post","population_pre","population_post","creditcard_pre","creditcard_post","auto_pre","auto_post","mortgage_pre","mortgage_post","studentloan_pre","studentloan_post","total_pre","total_post","creditcard_delinq_pre","creditcard_delinq_post","auto_delinq_pre","auto_delinq_post","mortgage_delinq_pre","mortgage_delinq_post","studentloan_delinq_pre","studentloan_delinq_post","unemp_pre","unemp_17","unemp_19","unemp_post","unemp_20","unemp_22"
"NY",322200.59777369,394437.793749602,12.0158905641811,20.8236236923161,4.89682211486,6.53780140909067,6.83856862682056,9.92542083954826,966752.3,1064454.53333333,2.07863943600552,1.94022613894249,8.08625336927224,16.4222873900293,6.17977528089888,10.7329842931937,5.09573810994441,13.3294864396999,6.36833046471601,-1.13636363636364,4.58902712624923,10.8955516362924,8.96,8.17,4.09,3.16,1.9,1.05,8.47,0.96,-0.6,4.6,4,-4.6,8.7,4.1
"NC",192076.951904272,261734.739701711,13.3097099793073,39.7659974662041,3.87061248502908,9.74886998223573,9.39641330649721,13.6966723961452,387915,465105.066666667,3.22072419849833,3.70985959467029,8.33333333333333,15.6583629893238,6.5173116089613,8.3955223880597,5.28156698146205,17.3308032890576,10.5050505050505,2.52252252252252,5.53818669048682,14.2120462046205,8.15,7.77,5.71,4.54,0.89,0.44,12.63,0.83,-0.6,4.3,3.7,-2.2,5.8,3.6
"ND",219517.123395648,239411.989057133,-0.751119809723693,12.1331704979139,5.09161474751549,0.246013471654739,9.31313910862435,17.6815531407368,34320.0333333333,38305.2333333333,1.63518654475072,1.86609919790473,7.74410774410774,14.8148148148148,10.1593625498008,4.58553791887125,9.15708812260536,11.8022864828514,4.9618320610687,19.1721132897603,7.86170968505802,12.3605338000438,5.58,5.65,2.86,2.11,0.79,0.47,7.85,0.78,-0.6,2.6,2,-2.3,4.4,2.1
"OH",142626.063169545,183811.555909647,12.8087619326543,26.1453744784101,3.35431145184476,6.10683085199039,7.11497592921889,10.3370616400765,462525.033333333,519129.033333333,0.716738868205808,1.11796399958052,7.83582089552239,15.5642023346303,9.54653937947494,9.97876857749469,6.32558139534884,12.9590544533558,5.68561872909699,-1.25,6.16254036598493,10.6356356356356,7.42,6.91,4.56,4.04,0.92,0.53,12.06,0.84,-0.3,4.6,4.3,-2.4,6.3,3.9
"OK",130763.927262929,166650.490612974,8.03062945762375,29.2029713483084,3.91277385417781,1.24221592193397,9.81013379527272,15.8396641343463,134973,154694.7,1.39768645778949,2.43254406134992,6.27450980392157,15.5102040816327,9.10891089108911,16.9590643274854,1.36157337367625,13.5950215414074,6.04651162790698,1.29589632829374,3.59988197108292,13.378878451466,8.91,8.53,5.6,4.02,1.25,0.72,15.18,0.76,-0.7,3.8,3.1,-2.1,5.2,3.1
"OR",342495.33405535,441907.160949045,11.1099415755518,30.912951163206,6.32289073290339,7.85029495729584,9.72122944960686,13.0614552779447,173100.8,201641.366666667,2.2730020553742,2.11308526092301,8.84353741496599,17.8181818181818,6.36604774535809,11.3022113022113,7.4083838650145,17.0504768550826,7.18232044198895,-2.03735144312394,6.78989060731799,14.817355513634,6.33,6.08,2.61,2.24,0.5,0.31,11.24,0.74,-0.7,4.1,3.4,-2.5,6.5,4
"PA",178461.758740937,222739.917849044,9.23474231729649,23.3400527812553,2.32455012342275,5.83655505646327,8.19681609682766,8.45049381691427,571805.766666667,638546.766666667,0.682568352522404,1.2139348019911,7.59075907590759,15.2249134948097,7.75,9.1324200913242,4.4435548438751,12.8272251308901,8.62944162436548,0.306748466257669,4.80096501809409,10.5516136415656,7.98,7.6,4.37,3.35,1.13,0.66,10.12,1.21,-0.5,4.9,4.4,-3.7,7.6,3.9
"RI",278149.724783159,357945.644496749,10.7814596308026,30.1873083949026,2.3582818912536,6.95102495719686,9.34065934065934,8.14345991561181,46298.7,52881.3666666667,1.24557551861643,1.75415544313777,9.25925925925926,16.4473684210526,9.97229916897507,12.4069478908189,4.83675937122128,14.5156813766306,14.867617107943,0.909090909090909,4.74923234390993,12.9144178874325,8.12,6.88,3.1,2.09,1.07,0.66,10.61,0.78,-1.1,4.5,3.4,-4,7,3
"SC",179379.85845659,236254.640952894,11.3691138599343,36.0009012915344,6.26115865022121,8.92548301926684,8.88285950218238,11.5011585228321,186770.3,222431.4,2.9461058401654,3.86458276507919,12.6865671641791,15.7509157509158,7.99136069114471,10.1364522417154,7.80769230769231,16.839986581684,10,1.31795716639209,7.57934628138323,13.7593184238552,8.16,8.21,6.4,4.65,1.19,0.56,13.98,0.8,-1.4,4,2.6,-1.8,4.9,3.1
"SD",195796.438074348,250946.154343573,9.94246431586196,31.4167825380267,1.73418243885994,4.71682202434307,10.1198186528497,17.3572077681667,35195.7,41099.6333333333,1.91948112656305,3.6306257640804,6.83453237410072,12.1212121212121,5.97701149425287,7.74058577405858,4.66666666666667,16.3468372423596,2.58964143426295,1.33079847908745,4.66812545587163,13.4358742365981,6.3,6.11,3.42,2.54,0.66,0.43,8.2,0.44,-0.4,3,2.6,-1.1,3,1.9
"TN",183493.236818854,252114.187712944,14.8284465935326,38.7852264480571,4.15846152764004,12.6696960503839,10.1245299164546,13.7722591202233,250452.2,296710.2,2.60464616431731,3.47251810822326,11.2903225806452,16.260162601626,7.65765765765766,10.9090909090909,6.42312324367724,19.9220134704006,9.03361344537815,2.68714011516315,6.56970912738215,16.0617059891107,7.79,7.48,4.83,4.44,0.88,0.36,12.67,1.13,-0.1,3.5,3.4,-2.2,5.6,3.4
"TX",202621.394188331,261238.286186634,11.0671362915504,35.0576495545216,8.36214316088222,10.0950459928247,9.78278789877174,14.6308969796514,1122723.56666667,1339116.4,4.05858505238267,4.57896605689186,10.5095541401274,18.5064935064935,5.52147239263804,8.71428571428572,9.66839792249301,19.1780821917808,8.51063829787234,3.29457364341085,8.73949579831933,15.9052092228864,9.2,8.67,5.83,4.47,0.89,0.47,11.9,1.12,-0.6,4.1,3.5,-2.9,6.9,4
"UT",313318.381722107,450890.832623366,17.9159906792525,43.8869416192009,12.0212697951475,11.6520034382506,11.9288868231466,17.1353472101428,115016.833333333,145383.766666667,4.74006657695304,5.0704364426305,8.19112627986348,20.1438848920863,6.97211155378486,10.2189781021898,9.72985895290461,23.3999596204321,1.41843971631206,-1.17096018735363,9.08292340126493,21.2362301101591,5.84,4.95,2.57,1.73,0.47,0.18,9.04,0.49,-0.7,3.1,2.4,-1.1,3.6,2.5
"VT",254412.984662899,320137.687379295,7.05270872431312,31.0159365756241,2.30198961619187,7.75097898780566,8.53646343658142,9.27560165832344,29972.6333333333,33235.9333333333,1.1484395391327,2.02374429223744,5.38720538720539,14.1818181818182,8.02469135802469,8.16326530612245,2.42616033755274,11.5151515151515,4.62633451957295,0.484652665589661,3.0363475177305,9.5952023988006,5.78,6.01,3.21,2.18,1.11,0.69,7.72,1.74,-0.7,2.8,2.1,-2.1,4.3,2.2
"VA",263366.568146199,323448.840082563,7.57398847915428,23.6860178208885,5.01988480633084,8.59497171639579,7.32846607940857,13.4739413680782,363220.833333333,414743.3,1.81808397344391,1.74630451512535,6.38297872340426,13.1428571428571,5.3763440860215,7.81563126252505,0.92885792695799,13.2705304116322,9.00900900900901,0.323101777059774,1.67563412759416,11.3933563805802,6.57,6.02,3.93,3.34,0.68,0.34,10.34,0.83,-0.7,3.4,2.7,-2.1,5,2.9
"WA",374074.415943011,512271.569597817,16.1603659481883,35.2907460206128,11.6897907958998,9.32150829796073,11.6742957746479,11.773318150224,344259.5,402317.133333333,2.86243300308592,2.80014481355255,8.28402366863905,19.4267515923567,6.42857142857143,8.98876404494382,8.72426236467841,20.9865139479032,5.35279805352798,-1.36054421768707,7.80051150895141,18.1961798075542,5.79,5.23,2.56,2.04,0.5,0.23,8.62,0.59,-0.9,4.6,3.7,-2.5,6.7,4.2
