"state","population_pre","population_post","creditcard_pre","creditcard_post","auto_pre","auto_post","mortgage_pre","mortgage_post","studentloan_pre","studentloan_post","total_pre","total_post","creditcard_delinq_pre","creditcard_delinq_post","auto_delinq_pre","auto_delinq_post","mortgage_delinq_pre","mortgage_delinq_post","studentloan_delinq_pre","studentloan_delinq_post"
"NY",2.07863943600552,1.94022613894249,8.08625336927224,16.4222873900293,6.17977528089888,10.7329842931937,5.09573810994441,13.3294864396999,6.36833046471601,-1.13636363636364,4.58902712624923,10.8955516362924,8.96,8.17,4.09,3.16,1.9,1.05,8.47,0.96
"OH",0.716738868205808,1.11796399958052,7.83582089552239,15.5642023346303,9.54653937947494,9.97876857749469,6.32558139534884,12.9590544533558,5.68561872909699,-1.25,6.16254036598493,10.6356356356356,7.42,6.91,4.56,4.04,0.92,0.53,12.06,0.84
"OK",1.39768645778949,2.43254406134992,6.27450980392157,15.5102040816327,9.10891089108911,16.9590643274854,1.36157337367625,13.5950215414074,6.04651162790698,1.29589632829374,3.59988197108292,13.378878451466,8.91,8.53,5.6,4.02,1.25,0.72,15.18,0.76
"OR",2.2730020553742,2.11308526092301,8.84353741496599,17.8181818181818,6.36604774535809,11.3022113022113,7.4083838650145,17.0504768550826,7.18232044198895,-2.03735144312394,6.78989060731799,14.817355513634,6.33,6.08,2.61,2.24,0.5,0.31,11.24,0.74
"PA",0.682568352522404,1.2139348019911,7.59075907590759,15.2249134948097,7.75,9.1324200913242,4.4435548438751,12.8272251308901,8.62944162436548,0.306748466257669,4.80096501809409,10.5516136415656,7.98,7.6,4.37,3.35,1.13,0.66,10.12,1.21
"PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RI",1.24557551861643,1.75415544313777,9.25925925925926,16.4473684210526,9.97229916897507,12.4069478908189,4.83675937122128,14.5156813766306,14.867617107943,0.909090909090909,4.74923234390993,12.9144178874325,8.12,6.88,3.1,2.09,1.07,0.66,10.61,0.78
"SC",2.9461058401654,3.86458276507919,12.6865671641791,15.7509157509158,7.99136069114471,10.1364522417154,7.80769230769231,16.839986581684,10,1.31795716639209,7.57934628138323,13.7593184238552,8.16,8.21,6.4,4.65,1.19,0.56,13.98,0.8
"SD",1.91948112656305,3.6306257640804,6.83453237410072,12.1212121212121,5.97701149425287,7.74058577405858,4.66666666666667,16.3468372423596,2.58964143426295,1.33079847908745,4.66812545587163,13.4358742365981,6.3,6.11,3.42,2.54,0.66,0.43,8.2,0.44
"TN",2.60464616431731,3.47251810822326,11.2903225806452,16.260162601626,7.65765765765766,10.9090909090909,6.42312324367724,19.9220134704006,9.03361344537815,2.68714011516315,6.56970912738215,16.0617059891107,7.79,7.48,4.83,4.44,0.88,0.36,12.67,1.13
"TX",4.05858505238267,4.57896605689186,10.5095541401274,18.5064935064935,5.52147239263804,8.71428571428572,9.66839792249301,19.1780821917808,8.51063829787234,3.29457364341085,8.73949579831933,15.9052092228864,9.2,8.67,5.83,4.47,0.89,0.47,11.9,1.12
"UT",4.74006657695304,5.0704364426305,8.19112627986348,20.1438848920863,6.97211155378486,10.2189781021898,9.72985895290461,23.3999596204321,1.41843971631206,-1.17096018735363,9.08292340126493,21.2362301101591,5.84,4.95,2.57,1.73,0.47,0.18,9.04,0.49
"VA",1.81808397344391,1.74630451512535,6.38297872340426,13.1428571428571,5.3763440860215,7.81563126252505,0.92885792695799,13.2705304116322,9.00900900900901,0.323101777059774,1.67563412759416,11.3933563805802,6.57,6.02,3.93,3.34,0.68,0.34,10.34,0.83
"VT",1.1484395391327,2.02374429223744,5.38720538720539,14.1818181818182,8.02469135802469,8.16326530612245,2.42616033755274,11.5151515151515,4.62633451957295,0.484652665589661,3.0363475177305,9.5952023988006,5.78,6.01,3.21,2.18,1.11,0.69,7.72,1.74
"WA",2.86243300308592,2.80014481355255,8.28402366863905,19.4267515923567,6.42857142857143,8.98876404494382,8.72426236467841,20.9865139479032,5.35279805352798,-1.36054421768707,7.80051150895141,18.1961798075542,5.79,5.23,2.56,2.04,0.5,0.23,8.62,0.59
"WI",1.32957039824396,2.19891842987272,5.32319391634981,15.1020408163265,11.731843575419,6.77966101694915,7.19005052467936,11.1033519553073,4,-1.39442231075697,6.74846625766871,9.99059708509638,5.47,4.94,2.71,2.52,0.62,0.28,8.89,0.65
"WV",-1.0185876428237,0.137688365333129,6.69642857142857,14.9321266968326,15.3333333333333,7.94824399260628,4.85564304461942,13.6585365853659,2.7027027027027,4.31818181818182,6.217436609934,10.3548387096774,8.14,8.35,5.41,3.7,1.24,0.72,15.83,0.95
"WY",1.40049987072309,2.86885245901639,5.74324324324324,16.4285714285714,2.86259541984733,-0.914076782449726,3.25916640551551,12.9159104658197,12.8440366972477,2.82485875706215,3.22650498051104,11.6033755274262,7.53,6.67,3.73,2.93,0.86,0.41,9.32,0.61
"allUS",1.92033498326648,2.53566894373127,9.35483870967742,17.1717171717172,7.30088495575221,10.2822580645161,5.61627200971463,15.648327343102,7.40740740740741,1.0752688172043,5.69672131147541,13.4857142857143,8.12,7.53,4.87,3.81,0.96,0.46,11.08,0.88
