"State","zhvi_pre_avg","zhvi_post_avg","zhvi_pre_change","zhvi_post_change","gdp_pre","gdp_post","income_pre","income_post","pce_pre","pce_post","population_pre","population_post","creditcard_pre","creditcard_post","auto_pre","auto_post","mortgage_pre","mortgage_post","studentloan_pre","studentloan_post","total_pre","total_post","creditcard_delinq_pre","creditcard_delinq_post","auto_delinq_pre","auto_delinq_post","mortgage_delinq_pre","mortgage_delinq_post","studentloan_delinq_pre","studentloan_delinq_post","unemp_pre","unemp_post"
"NY",322200.59777369,394437.793749602,12.0158905641811,20.8236236923161,1664783.93333333,1719369.73333333,64298.3333333333,74605.6666666667,966752.3,1064454.53333333,15819626.6666667,16157426.6666667,3853.33333333333,3633.33333333333,3680,4043.33333333333,33010,37000,6026.66666666667,6143.33333333333,49996.6666666667,53746.6666666667,8.54333333333333,9.15333333333333,3.70333333333333,3.48666666666667,2.31333333333333,1.04666666666667,8.61333333333333,2.82666666666667,4.21111111111111,7.09444444444444
"NC",192076.951904272,261734.739701711,13.3097099793073,39.7659974662041,557119.6,594752.966666667,46213.6666666667,55891,387915,465105.066666667,8412126.66666667,8869946.66666667,2996.66666666667,2980,5060,5590,29270,34233.3333333333,5220,5636.66666666667,45960,51660,7.75333333333333,8.33333333333333,5.42666666666667,5.03,1.02,0.426666666666667,11.8333333333333,4.35333333333333,4.14444444444445,5.29722222222222
"ND",219517.123395648,239411.989057133,-0.751119809723693,12.1331704979139,58151.7,56085.9333333333,54553.3333333333,65795,34320.0333333333,38305.2333333333,604053.333333333,615853.333333333,3090,3123.33333333333,5280,5800,27353.3333333333,31346.6666666667,5416.66666666667,5243.33333333333,43973.3333333333,48440,5.12,6.02666666666667,2.43,2.37666666666667,0.753333333333333,0.47,7.88666666666667,3.51,2.38055555555555,3.39722222222222
"OH",142626.063169545,183811.555909647,12.8087619326543,26.1453744784101,660821.133333333,680326.7,47776.6666666667,56156.6666666667,462525.033333333,519129.033333333,10008673.3333333,10160393.3333333,2773.33333333333,2720,4383.33333333333,4943.33333333333,22056.6666666667,25230,6173.33333333333,6370,38200,41970,7.15666666666667,7.33,4.30666666666667,4.17333333333333,1.05333333333333,0.513333333333333,12.8533333333333,4.62,4.51111111111111,5.825
"OK",130763.927262929,166650.490612974,8.03062945762375,29.2029713483084,196213.766666667,193211.4,46026.6666666667,54151.6666666667,134973,154694.7,3198420,3281853.33333333,2616.66666666667,2603.33333333333,5303.33333333333,5676.66666666667,19890,22280,4466.66666666667,4676.66666666667,34456.6666666667,37526.6666666667,8.50333333333333,9.35,5.28333333333333,4.90333333333333,1.29666666666667,0.746666666666667,15.2966666666667,5.49666666666667,3.48055555555555,4.45
"OR",342495.33405535,441907.160949045,11.1099415755518,30.912951163206,233212.533333333,247937.566666667,49988.3333333333,60986.3333333333,173100.8,201641.366666667,3509726.66666667,3617713.33333333,3070,2930,3910,4300,39363.3333333333,46463.3333333333,5670,5846.66666666667,54910,62340,6.14,6.77333333333333,2.42,2.27,0.606666666666667,0.276666666666667,11.4533333333333,4.65333333333333,3.94166666666667,5.55
"PA",178461.758740937,222739.917849044,9.23474231729649,23.3400527812553,763341.966666667,760416.9,54164.3333333333,63120,571805.766666667,638546.766666667,11002553.3333333,11145800,3136.66666666667,3060,4153.33333333333,4603.33333333333,25516.6666666667,28420,6180,6503.33333333333,42443.3333333333,45856.6666666667,7.56333333333333,8.08333333333333,4.03666666666667,3.6,1.38,0.61,10.49,4.03,4.55,6.28611111111111
"RI",278149.724783159,357945.644496749,10.7814596308026,30.1873083949026,59223.1,60438.0333333333,52556.3333333333,62074.3333333333,46298.7,52881.3666666667,896440,919720,3380,3223.33333333333,3773.33333333333,4296.66666666667,33863.3333333333,38553.3333333333,5313.33333333333,5570,49986.6666666667,54986.6666666667,7.83666666666667,7.78333333333333,2.76333333333333,2.36666666666667,1.39,0.553333333333333,10.3566666666667,3.62333333333333,4.01666666666667,6.03055555555556
"SC",179379.85845659,236254.640952894,11.3691138599343,36.0009012915344,231874.066666667,244635.566666667,44117.3333333333,52122.3333333333,186770.3,222431.4,4244486.66666667,4482146.66666667,2843.33333333333,2900,4803.33333333333,5400,27010,32250,5806.66666666667,6110,43840,49996.6666666667,7.91,8.61,6.03666666666667,5.40333333333333,1.22666666666667,0.533333333333333,13.5633333333333,4.74,3.44166666666667,4.375
"SD",195796.438074348,250946.154343573,9.94246431586196,31.4167825380267,52021.0333333333,54515.4666666667,51798.3333333333,65390.6666666667,35195.7,41099.6333333333,690940,715846.666666667,2863.33333333333,2746.66666666667,4493.33333333333,4960,26013.3333333333,30570,5113.33333333333,5313.33333333333,42020,47256.6666666667,6.11,6.59333333333333,3.05666666666667,2.92666666666667,0.626666666666667,0.423333333333333,9.66666666666667,3.69333333333333,2.84166666666667,2.85833333333333
"TN",183493.236818854,252114.187712944,14.8284465935326,38.7852264480571,362659.533333333,394192.666666667,46586.3333333333,56178.3333333333,250452.2,296710.2,5650980,5919193.33333333,2603.33333333333,2620,4613.33333333333,5223.33333333333,25423.3333333333,30886.6666666667,5000,5296.66666666667,40916.6666666667,47380,7.35,7.99333333333333,4.45,4.48666666666667,0.84,0.376666666666667,13.3666666666667,4.81,3.52222222222222,5.10277777777778
"TX",202621.394188331,261238.286186634,11.0671362915504,35.0576495545216,1740197.46666667,1868489,51047,59266.3333333333,1122723.56666667,1339116.4,21847846.6666667,23316086.6666667,3293.33333333333,3306.66666666667,6706.66666666667,7293.33333333333,26270,31836.6666666667,4923.33333333333,5273.33333333333,43533.3333333333,50283.3333333333,8.75333333333333,9.53,5.30666666666667,5.09666666666667,0.93,0.46,12.2533333333333,4.72333333333333,3.93333333333333,5.75555555555556
"UT",313318.381722107,450890.832623366,17.9159906792525,43.8869416192009,182313.866666667,207546.533333333,45552,56843.6666666667,115016.833333333,145383.766666667,2309333.33333333,2495440,3050,2996.66666666667,5203.33333333333,5743.33333333333,43680,55390,4290,4280,59443.3333333333,72166.6666666667,5.59333333333333,5.7,2.35333333333333,1.98333333333333,0.516666666666667,0.186666666666667,8.85666666666667,2.94333333333333,2.87222222222222,3.32222222222222
"VT",254412.984662899,320137.687379295,7.05270872431312,31.0159365756241,32918.8,33575.7333333333,51992.6666666667,60820.3333333333,29972.6333333333,33235.9333333333,539026.666666667,552853.333333333,3063.33333333333,2906.66666666667,5053.33333333333,5613.33333333333,28610,31496.6666666667,5660,6146.66666666667,45626.6666666667,48873.3333333333,5.80666666666667,6.19666666666667,2.94333333333333,2.58666666666667,1.26333333333333,0.7,7.90333333333333,3.4,2.51666666666667,3.87222222222222
"VA",263366.568146199,323448.840082563,7.57398847915428,23.6860178208885,527987.566666667,560159.366666667,56289.6666666667,66014.6666666667,363220.833333333,414743.3,7115426.66666667,7305160,3873.33333333333,3673.33333333333,4743.33333333333,5193.33333333333,47583.3333333333,52086.6666666667,5806.66666666667,6173.33333333333,65556.6666666667,70170,6.31,6.68666666666667,3.61333333333333,3.47333333333333,0.75,0.346666666666667,10.0566666666667,3.80666666666667,3.11666666666667,4.34722222222222
"WA",374074.415943011,512271.569597817,16.1603659481883,35.2907460206128,559249.833333333,621094.466666667,60018.3333333333,72275.6666666667,344259.5,402317.133333333,6233660,6496200,3516.66666666667,3380,4373.33333333333,4640,49216.6666666667,59810,4236.66666666667,4380,65130,75800,5.56333333333333,5.85666666666667,2.35666666666667,2.22,0.586666666666667,0.233333333333333,8.96,3.36,4.41111111111111,5.98333333333333
"WV",112725.209950006,135630.082700402,5.75725165175861,23.3163093350946,76580.3666666667,75835.6333333333,40819,47930,66114.0666666667,73617.3,1571500,1569980,2290,2333.33333333333,4790,5630,15550,17463.3333333333,4090,4483.33333333333,29600,32430,8.02333333333333,8.43666666666667,5.16,4.25,1.21333333333333,0.69,16.6633333333333,6.62666666666667,5.08888888888889,5.77777777777778
"WI",191799.488650598,244416.675730412,13.0355419424619,24.1217113251084,327992,332244.166666667,50400.3333333333,59242.6666666667,236292.033333333,267186.7,4813353.33333333,4917626.66666667,2686.66666666667,2593.33333333333,3790,4280,26540,30253.3333333333,4846.66666666667,5000,40313.3333333333,44600,5.09,5.52333333333333,2.53666666666667,2.59,0.71,0.33,8.94,3.18666666666667,3.16388888888889,4.34444444444445
"WY",238267.049537211,290388.768177379,6.20070680963137,21.8706882853713,38058.2,37052.4,59142.6666666667,70816.6666666667,24605.3,28518.5,466560,479926.666666667,3030,2996.66666666667,5293.33333333333,5456.66666666667,32296.6666666667,35436.6666666667,3523.33333333333,3616.66666666667,46753.3333333333,50293.3333333333,7.23666666666667,7.46333333333333,3.46,3.32,0.796666666666667,0.413333333333333,9.91333333333333,3.17666666666667,4.04722222222222,4.61388888888889
